Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:7.2258 	Average Loss:  1.090449970960617
Iteration:  200 	s:7.2960 	Average Loss:  1.09912413418293
Iteration:  300 	s:7.5628 	Average Loss:  1.0987684124708175
Iteration:  400 	s:7.5890 	Average Loss:  1.098626167178154
Iteration:  500 	s:7.4824 	Average Loss:  1.098620598912239
Iteration:  600 	s:7.1233 	Average Loss:  1.0988684183359145
Iteration:  700 	s:7.3772 	Average Loss:  1.0991387176513672
Iteration:  800 	s:6.9899 	Average Loss:  1.0973963230848311
Iteration:  900 	s:7.0945 	Average Loss:  1.100857691168785
Iteration:  1000 	s:7.3151 	Average Loss:  1.099876610636711
Iteration:  1100 	s:7.1981 	Average Loss:  1.0978183436393738
Iteration:  1200 	s:7.2432 	Average Loss:  1.0991726100444794
Iteration:  1300 	s:7.6548 	Average Loss:  1.0977904587984084
Iteration:  1400 	s:7.7358 	Average Loss:  1.0947635012865067
Iteration:  1500 	s:7.7252 	Average Loss:  1.1021083125472069
Iteration:  1600 	s:7.6113 	Average Loss:  1.0997396159172057
Iteration:  1700 	s:7.6794 	Average Loss:  1.0992473596334458
Iteration:  1800 	s:7.6825 	Average Loss:  1.0973686450719833
Iteration:  1900 	s:7.6990 	Average Loss:  1.100236127972603
Iteration:  2000 	s:7.7703 	Average Loss:  1.0984762173891067
Iteration:  2100 	s:7.6986 	Average Loss:  1.0975531446933746
Iteration:  2200 	s:7.7382 	Average Loss:  1.09848064661026
Iteration:  2300 	s:7.7445 	Average Loss:  1.0984188789129257
Iteration:  2400 	s:7.7296 	Average Loss:  1.0980007576942443
Iteration:  2500 	s:7.7999 	Average Loss:  1.0991222774982452
Iteration:  2600 	s:7.6659 	Average Loss:  1.1052720606327058
Iteration:  2700 	s:7.6734 	Average Loss:  1.1012381234765052
Iteration:  2800 	s:7.7559 	Average Loss:  1.0619209775328635
Iteration:  2900 	s:7.6048 	Average Loss:  1.0962939737271518
Iteration:  3000 	s:7.6041 	Average Loss:  0.9741664439439773
Iteration:  3100 	s:7.4701 	Average Loss:  0.9127720722323284
Iteration:  3200 	s:7.6348 	Average Loss:  0.7668329630675725
Iteration:  3300 	s:7.6554 	Average Loss:  0.8279002918675542
Iteration:  3400 	s:7.6221 	Average Loss:  0.6050270328717307
Iteration:  3500 	s:7.4856 	Average Loss:  0.5103585587017005
Iteration:  3600 	s:7.6884 	Average Loss:  0.6117770023125922
Iteration:  3700 	s:7.5924 	Average Loss:  0.5381001528247725
Iteration:  3800 	s:7.5508 	Average Loss:  0.3771070376724674
Iteration:  3900 	s:7.5361 	Average Loss:  0.3366055773780681
Iteration:  4000 	s:7.6170 	Average Loss:  0.5269432841517119
Iteration:  4100 	s:7.3330 	Average Loss:  0.37820083474973215
Iteration:  4200 	s:7.9667 	Average Loss:  0.2279395242144892
Iteration:  4300 	s:7.1866 	Average Loss:  0.35527966555280727
Iteration:  4400 	s:7.3944 	Average Loss:  0.381605251914516
Iteration:  4500 	s:7.2453 	Average Loss:  0.299105079324072
Iteration:  4600 	s:6.8549 	Average Loss:  0.26774696503124235
Iteration:  4700 	s:7.0984 	Average Loss:  0.2392993431459763
Iteration:  4800 	s:6.9927 	Average Loss:  0.2509426281895867
Iteration:  4900 	s:6.7654 	Average Loss:  0.254164240063692
Iteration:  5000 	s:6.8257 	Average Loss:  0.18061703476192675
Epoch time:  373.6472477912903
Epoch 2
Iteration:  5100 	s:7.1889 	Average Loss:  0.3169979445917852
Iteration:  5200 	s:7.0081 	Average Loss:  0.20290022737928667
Iteration:  5300 	s:6.8596 	Average Loss:  0.2892850476360877
Iteration:  5400 	s:7.1566 	Average Loss:  0.15039722799773927
Iteration:  5500 	s:6.9931 	Average Loss:  0.2102313126159311
Iteration:  5600 	s:7.7052 	Average Loss:  0.256027313678278
Iteration:  5700 	s:7.6166 	Average Loss:  0.24473025586194125
Iteration:  5800 	s:7.7680 	Average Loss:  0.1764359887614046
Iteration:  5900 	s:7.1025 	Average Loss:  0.18178435967285622
Iteration:  6000 	s:6.8614 	Average Loss:  0.22694294502631238
Iteration:  6100 	s:7.0338 	Average Loss:  0.21502482916619214
Iteration:  6200 	s:7.0734 	Average Loss:  0.24898142400911638
Iteration:  6300 	s:6.8078 	Average Loss:  0.16548677249740115
Iteration:  6400 	s:6.8869 	Average Loss:  0.24251450650350762
Iteration:  6500 	s:7.4744 	Average Loss:  0.32448388630346015
Iteration:  6600 	s:7.6067 	Average Loss:  0.13389674951020425
Iteration:  6700 	s:7.3557 	Average Loss:  0.2104723084329862
Iteration:  6800 	s:7.3689 	Average Loss:  0.2226507817593415
Iteration:  6900 	s:7.4726 	Average Loss:  0.31310245476102866
Iteration:  7000 	s:7.3698 	Average Loss:  0.2781142855374242
Iteration:  7100 	s:7.4311 	Average Loss:  0.2068715852954483
Iteration:  7200 	s:7.5513 	Average Loss:  0.25913162593307787
Iteration:  7300 	s:7.2357 	Average Loss:  0.18834354173084392
Iteration:  7400 	s:7.3069 	Average Loss:  0.2392380024402155
Iteration:  7500 	s:7.2898 	Average Loss:  0.081116180012732
Iteration:  7600 	s:7.4670 	Average Loss:  0.20477975786669048
Iteration:  7700 	s:7.1440 	Average Loss:  0.13043246581629547
Iteration:  7800 	s:7.2860 	Average Loss:  0.22161776011705697
Iteration:  7900 	s:7.3289 	Average Loss:  0.23862661743654826
Iteration:  8000 	s:7.3113 	Average Loss:  0.23467419859239272
Iteration:  8100 	s:7.2540 	Average Loss:  0.18788137915945072
Iteration:  8200 	s:7.1601 	Average Loss:  0.14855206857115633
Iteration:  8300 	s:7.2760 	Average Loss:  0.30984394345630106
Iteration:  8400 	s:7.2640 	Average Loss:  0.16343356514144433
Iteration:  8500 	s:7.2258 	Average Loss:  0.1501274026413705
Iteration:  8600 	s:7.3340 	Average Loss:  0.29235704511405175
Iteration:  8700 	s:7.5602 	Average Loss:  0.2683553702489644
Iteration:  8800 	s:7.3561 	Average Loss:  0.16002673646129095
Iteration:  8900 	s:7.2921 	Average Loss:  0.18574983825315938
Iteration:  9000 	s:7.3321 	Average Loss:  0.19511637262197837
Iteration:  9100 	s:7.2800 	Average Loss:  0.16398536342122041
Iteration:  9200 	s:7.2825 	Average Loss:  0.12768123197826128
