Caching ACs
Training  for 10 epoch(s)
Epoch 1
Iteration:  100 	s:8.0446 	Average Loss:  3.278853525519371
Iteration:  200 	s:6.5592 	Average Loss:  2.869315384919755
Iteration:  300 	s:6.5744 	Average Loss:  1.7945450582241755
Iteration:  400 	s:6.3582 	Average Loss:  1.1628071053343183
Iteration:  500 	s:6.1862 	Average Loss:  0.5514009361977145
Iteration:  600 	s:6.0670 	Average Loss:  0.6646683261172666
Iteration:  700 	s:5.8846 	Average Loss:  0.5963146102196833
Iteration:  800 	s:6.3303 	Average Loss:  0.4583101380749815
Iteration:  900 	s:6.4002 	Average Loss:  0.47327743816355505
Iteration:  1000 	s:6.3942 	Average Loss:  0.426129967540254
Iteration:  1100 	s:6.4075 	Average Loss:  0.4253068471170621
Iteration:  1200 	s:6.2304 	Average Loss:  0.4338031729470549
Iteration:  1300 	s:6.4002 	Average Loss:  0.4187556179611643
Iteration:  1400 	s:6.2157 	Average Loss:  0.3900984280683201
Iteration:  1500 	s:6.4619 	Average Loss:  0.3940469449187888
Iteration:  1600 	s:6.1350 	Average Loss:  0.23865609074217084
Iteration:  1700 	s:6.2677 	Average Loss:  0.29013111262024643
Iteration:  1800 	s:6.6321 	Average Loss:  0.5008744351371042
Iteration:  1900 	s:6.3752 	Average Loss:  0.33041939604797904
Iteration:  2000 	s:6.1614 	Average Loss:  0.3583861795967607
Iteration:  2100 	s:6.1867 	Average Loss:  0.3692801876518032
Iteration:  2200 	s:6.2983 	Average Loss:  0.4036968797670215
Iteration:  2300 	s:6.3082 	Average Loss:  0.3084320536423702
Iteration:  2400 	s:6.2723 	Average Loss:  0.382876853682435
Iteration:  2500 	s:5.9491 	Average Loss:  0.15537262950983358
Iteration:  2600 	s:5.8915 	Average Loss:  0.22477078030291772
Iteration:  2700 	s:5.6628 	Average Loss:  0.11633167664273887
Iteration:  2800 	s:5.8995 	Average Loss:  0.2681309125559463
Iteration:  2900 	s:6.2105 	Average Loss:  0.3055229160641638
Iteration:  3000 	s:6.2734 	Average Loss:  0.31838132217258697
Iteration:  3100 	s:6.1985 	Average Loss:  0.21776097951569443
Iteration:  3200 	s:6.1706 	Average Loss:  0.2559460371105509
Iteration:  3300 	s:6.0185 	Average Loss:  0.2786379868986085
Iteration:  3400 	s:5.7511 	Average Loss:  0.224616245977162
Iteration:  3500 	s:6.0340 	Average Loss:  0.2921763275905937
Iteration:  3600 	s:6.3524 	Average Loss:  0.34286329111397107
Iteration:  3700 	s:5.9814 	Average Loss:  0.28060205934200033
Iteration:  3800 	s:6.1203 	Average Loss:  0.1981945482646705
Iteration:  3900 	s:6.0799 	Average Loss:  0.26043007843922067
Iteration:  4000 	s:6.2081 	Average Loss:  0.3951081339986765
Iteration:  4100 	s:6.1079 	Average Loss:  0.2024940953814026
Iteration:  4200 	s:6.1372 	Average Loss:  0.22790942971932449
Iteration:  4300 	s:6.1718 	Average Loss:  0.20955302095452086
Iteration:  4400 	s:6.0685 	Average Loss:  0.3264009520807201
Iteration:  4500 	s:6.2935 	Average Loss:  0.2580458150620916
Iteration:  4600 	s:6.2573 	Average Loss:  0.22447823201219422
Iteration:  4700 	s:6.0175 	Average Loss:  0.15298016325989333
Iteration:  4800 	s:5.9501 	Average Loss:  0.17815606396922612
Iteration:  4900 	s:6.1530 	Average Loss:  0.1995707810768772
Iteration:  5000 	s:5.8829 	Average Loss:  0.12754660356158076
Epoch time:  311.0543141365051
Epoch 2
Iteration:  5100 	s:5.8563 	Average Loss:  0.18672180402740593
Iteration:  5200 	s:5.9834 	Average Loss:  0.1945696260903651
Iteration:  5300 	s:5.9341 	Average Loss:  0.18283515541523637
Iteration:  5400 	s:5.8508 	Average Loss:  0.267497735438787
Iteration:  5500 	s:5.8215 	Average Loss:  0.15108310568964725
Iteration:  5600 	s:6.1814 	Average Loss:  0.16392230584136858
Iteration:  5700 	s:5.9084 	Average Loss:  0.2342278921850616
Iteration:  5800 	s:6.1664 	Average Loss:  0.08425762016620823
Iteration:  5900 	s:5.8299 	Average Loss:  0.15408622425033036
Iteration:  6000 	s:5.8782 	Average Loss:  0.162877688820829
Iteration:  6100 	s:6.0806 	Average Loss:  0.16071672484910365
Iteration:  6200 	s:5.8291 	Average Loss:  0.18166492136896883
Iteration:  6300 	s:5.9168 	Average Loss:  0.16069441058172468
Iteration:  6400 	s:5.5713 	Average Loss:  0.2087963473384612
Iteration:  6500 	s:5.8309 	Average Loss:  0.2410698078984866
Iteration:  6600 	s:5.7023 	Average Loss:  0.14814421526966703
Iteration:  6700 	s:5.7951 	Average Loss:  0.1910224941197678
Iteration:  6800 	s:5.8761 	Average Loss:  0.30230603298510916
Iteration:  6900 	s:5.9397 	Average Loss:  0.20469705727116227
Iteration:  7000 	s:6.0254 	Average Loss:  0.18558403329038328
Iteration:  7100 	s:5.9237 	Average Loss:  0.1725120487542963
Iteration:  7200 	s:5.8415 	Average Loss:  0.23171397365293614
Iteration:  7300 	s:5.8280 	Average Loss:  0.16460731407921622
Iteration:  7400 	s:6.0654 	Average Loss:  0.1820371852122994
Iteration:  7500 	s:5.9279 	Average Loss:  0.05449014783674762
Iteration:  7600 	s:5.6337 	Average Loss:  0.09017285285423111
Iteration:  7700 	s:5.2554 	Average Loss:  0.07247688171620803
Iteration:  7800 	s:5.2605 	Average Loss:  0.13935388172322036
Iteration:  7900 	s:5.3543 	Average Loss:  0.15712975318745748
Iteration:  8000 	s:5.5323 	Average Loss:  0.17099478944836075
Iteration:  8100 	s:5.3849 	Average Loss:  0.16456021488106853
Iteration:  8200 	s:5.5356 	Average Loss:  0.14908246211164497
Iteration:  8300 	s:5.4528 	Average Loss:  0.2911614495737358
Iteration:  8400 	s:5.5354 	Average Loss:  0.11034458132666067
Iteration:  8500 	s:5.5379 	Average Loss:  0.16976160236833227
Iteration:  8600 	s:5.7757 	Average Loss:  0.22462568668596208
Iteration:  8700 	s:5.7178 	Average Loss:  0.13815269389649046
Iteration:  8800 	s:5.7600 	Average Loss:  0.10411525509132197
Iteration:  8900 	s:5.7306 	Average Loss:  0.19145561023140822
Iteration:  9000 	s:6.1015 	Average Loss:  0.2340572893909934
Iteration:  9100 	s:5.7440 	Average Loss:  0.18420659511876805
Iteration:  9200 	s:5.6235 	Average Loss:  0.1799886149140295
Iteration:  9300 	s:5.6422 	Average Loss:  0.09014379641882489
Iteration:  9400 	s:5.7163 	Average Loss:  0.32567161720694016
Iteration:  9500 	s:6.0898 	Average Loss:  0.171063505290843
Iteration:  9600 	s:5.9848 	Average Loss:  0.16685027459205934
Iteration:  9700 	s:5.7029 	Average Loss:  0.06739443451646115
Iteration:  9800 	s:5.4371 	Average Loss:  0.07722037656626603
Iteration:  9900 	s:5.6694 	Average Loss:  0.1694948759340357
Iteration:  10000 	s:5.5499 	Average Loss:  0.04352526852933117
Epoch time:  288.2847373485565
Epoch 3
Iteration:  10100 	s:5.4358 	Average Loss:  0.09057897365443943
Iteration:  10200 	s:5.5037 	Average Loss:  0.1642555893811475
Iteration:  10300 	s:5.4899 	Average Loss:  0.08777152403935844
Iteration:  10400 	s:5.4068 	Average Loss:  0.16981113363858813
Iteration:  10500 	s:5.2678 	Average Loss:  0.16193816114383108
Iteration:  10600 	s:5.0916 	Average Loss:  0.19872248400288803
Iteration:  10700 	s:5.0162 	Average Loss:  0.14170877491583916
Iteration:  10800 	s:5.0091 	Average Loss:  0.07177174025264658
Iteration:  10900 	s:4.8659 	Average Loss:  0.0716420487601425
Iteration:  11000 	s:4.8409 	Average Loss:  0.06322899998744881
Iteration:  11100 	s:4.8399 	Average Loss:  0.11516227701908875
Iteration:  11200 	s:4.8440 	Average Loss:  0.10433513737840087
Iteration:  11300 	s:4.7119 	Average Loss:  0.10593983291862194
Iteration:  11400 	s:4.6122 	Average Loss:  0.18294413913187502
Iteration:  11500 	s:4.9066 	Average Loss:  0.1851423479723673
Iteration:  11600 	s:4.7115 	Average Loss:  0.07070282224425811
Iteration:  11700 	s:4.8145 	Average Loss:  0.09392349145066937
Iteration:  11800 	s:4.9195 	Average Loss:  0.20316808998900654
Iteration:  11900 	s:4.8658 	Average Loss:  0.15856253733616024
Iteration:  12000 	s:4.7699 	Average Loss:  0.19781582843340637
Iteration:  12100 	s:4.8477 	Average Loss:  0.1274721662745884
Iteration:  12200 	s:4.8512 	Average Loss:  0.12314930202892532
Iteration:  12300 	s:4.4935 	Average Loss:  0.11571597362476665
Iteration:  12400 	s:4.7975 	Average Loss:  0.17937228565626712
Iteration:  12500 	s:4.7621 	Average Loss:  0.04273852214581014
Iteration:  12600 	s:4.8956 	Average Loss:  0.13080900422467662
Iteration:  12700 	s:4.6599 	Average Loss:  0.03508559295232286
Iteration:  12800 	s:4.7399 	Average Loss:  0.09844202031113834
Iteration:  12900 	s:4.6561 	Average Loss:  0.08116006664744692
Iteration:  13000 	s:4.8315 	Average Loss:  0.1489848642422
Iteration:  13100 	s:4.7574 	Average Loss:  0.08829417561549459
Iteration:  13200 	s:4.7117 	Average Loss:  0.16124129990661246
Iteration:  13300 	s:4.8240 	Average Loss:  0.20957496541431386
Iteration:  13400 	s:4.7561 	Average Loss:  0.07192752612921537
Iteration:  13500 	s:4.7951 	Average Loss:  0.1338720885288505
Iteration:  13600 	s:4.8978 	Average Loss:  0.2262953417906832
Iteration:  13700 	s:4.8611 	Average Loss:  0.16320995308486716
Iteration:  13800 	s:4.8136 	Average Loss:  0.057909710592101794
Iteration:  13900 	s:4.6643 	Average Loss:  0.07882092451571485
Iteration:  14000 	s:4.8520 	Average Loss:  0.15676535632063907
Iteration:  14100 	s:4.6517 	Average Loss:  0.10467493695268626
Iteration:  14200 	s:4.7016 	Average Loss:  0.16041143039634456
Iteration:  14300 	s:4.8094 	Average Loss:  0.06713139545689971
Iteration:  14400 	s:4.7093 	Average Loss:  0.2248475695161676
Iteration:  14500 	s:4.9626 	Average Loss:  0.07681038044769725
Iteration:  14600 	s:4.7254 	Average Loss:  0.0745763315265811
Iteration:  14700 	s:4.5998 	Average Loss:  0.049095765384894186
Iteration:  14800 	s:4.5526 	Average Loss:  0.015680773981671718
Iteration:  14900 	s:4.7047 	Average Loss:  0.1198678799814099
Iteration:  15000 	s:4.6753 	Average Loss:  0.031715446614198985
Epoch time:  242.4798765182495
Epoch 4
Iteration:  15100 	s:4.6345 	Average Loss:  0.08960259853617676
Iteration:  15200 	s:4.7575 	Average Loss:  0.11708419942760379
Iteration:  15300 	s:4.6667 	Average Loss:  0.08981769669237534
Iteration:  15400 	s:4.7635 	Average Loss:  0.1205047459624058
Iteration:  15500 	s:4.5773 	Average Loss:  0.09478261391387441
Iteration:  15600 	s:4.4841 	Average Loss:  0.10775956614726515
Iteration:  15700 	s:4.6402 	Average Loss:  0.13806338004050672
Iteration:  15800 	s:4.7800 	Average Loss:  0.12742955560225233
Iteration:  15900 	s:4.8431 	Average Loss:  0.041134422927997655
Iteration:  16000 	s:4.6629 	Average Loss:  0.053577718969539286
Iteration:  16100 	s:4.7068 	Average Loss:  0.07302149991640769
Iteration:  16200 	s:4.6795 	Average Loss:  0.0853026395163391
Iteration:  16300 	s:4.6848 	Average Loss:  0.07081554623757308
Iteration:  16400 	s:4.4717 	Average Loss:  0.05935555939102687
Iteration:  16500 	s:4.5711 	Average Loss:  0.10245167356668261
Iteration:  16600 	s:4.3866 	Average Loss:  0.03999150897880096
Iteration:  16700 	s:4.3774 	Average Loss:  0.04939204789130627
Iteration:  16800 	s:4.5495 	Average Loss:  0.22969098750235378
Iteration:  16900 	s:4.5625 	Average Loss:  0.06589578945859506
Iteration:  17000 	s:4.5538 	Average Loss:  0.13841002405274785
Iteration:  17100 	s:4.7341 	Average Loss:  0.0725779429082713
Iteration:  17200 	s:4.5785 	Average Loss:  0.16468895272814593
Iteration:  17300 	s:4.4819 	Average Loss:  0.2015503068097513
Iteration:  17400 	s:4.7349 	Average Loss:  0.09536593568666689
Iteration:  17500 	s:4.4779 	Average Loss:  0.029017967276108374
Iteration:  17600 	s:4.5989 	Average Loss:  0.15173683117554404
Iteration:  17700 	s:4.4016 	Average Loss:  0.03463154189535012
Iteration:  17800 	s:4.6183 	Average Loss:  0.13391085509974476
Iteration:  17900 	s:4.6683 	Average Loss:  0.05062917722035997
Iteration:  18000 	s:4.7680 	Average Loss:  0.07651120669335361
Iteration:  18100 	s:4.4995 	Average Loss:  0.05489864237390427
Iteration:  18200 	s:4.5934 	Average Loss:  0.059883920097018234
Iteration:  18300 	s:4.6501 	Average Loss:  0.09991897675446014
Iteration:  18400 	s:4.3434 	Average Loss:  0.13165556144783444
Iteration:  18500 	s:4.5632 	Average Loss:  0.11391498324764765
Iteration:  18600 	s:4.5131 	Average Loss:  0.10892371547304172
Iteration:  18700 	s:4.5777 	Average Loss:  0.1524494499504797
Iteration:  18800 	s:4.6783 	Average Loss:  0.050052741615112674
Iteration:  18900 	s:4.5894 	Average Loss:  0.03449410185261484
Iteration:  19000 	s:4.6637 	Average Loss:  0.11004329389247917
Iteration:  19100 	s:4.6157 	Average Loss:  0.056555072664259624
Iteration:  19200 	s:4.5446 	Average Loss:  0.07209596133944676
Iteration:  19300 	s:4.5835 	Average Loss:  0.05586870749747472
Iteration:  19400 	s:4.3520 	Average Loss:  0.11855305849494296
Iteration:  19500 	s:4.6257 	Average Loss:  0.09524007235353026
Iteration:  19600 	s:4.4602 	Average Loss:  0.04181417038067643
Iteration:  19700 	s:4.5444 	Average Loss:  0.047901372340412404
Iteration:  19800 	s:4.4624 	Average Loss:  0.017981204976480755
Iteration:  19900 	s:4.4073 	Average Loss:  0.04737427951166136
Iteration:  20000 	s:4.3236 	Average Loss:  0.05299175889026604
Epoch time:  229.003821849823
Epoch 5
Iteration:  20100 	s:4.3827 	Average Loss:  0.014570934726643073
