random seed,data_dir,num train,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,accuracy epoch 11,accuracy epoch 12,accuracy epoch 13,accuracy epoch 14,accuracy epoch 15,accuracy epoch 16,accuracy epoch 17,accuracy epoch 18,accuracy epoch 19,accuracy epoch 20,accuracy epoch 21,accuracy epoch 22,accuracy epoch 23,accuracy epoch 24,accuracy epoch 25,accuracy epoch 26,accuracy epoch 27,accuracy epoch 28,accuracy epoch 29,accuracy epoch 30,accuracy epoch 31,accuracy epoch 32,accuracy epoch 33,accuracy epoch 34,accuracy epoch 35,accuracy epoch 36,accuracy epoch 37,accuracy epoch 38,accuracy epoch 39,accuracy epoch 40,accuracy epoch 41,accuracy epoch 42,accuracy epoch 43,accuracy epoch 44,accuracy epoch 45,accuracy epoch 46,accuracy epoch 47,accuracy epoch 48,accuracy epoch 49,accuracy epoch 50,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10,time epoch 11,time epoch 12,time epoch 13,time epoch 14,time epoch 15,time epoch 16,time epoch 17,time epoch 18,time epoch 19,time epoch 20,time epoch 21,time epoch 22,time epoch 23,time epoch 24,time epoch 25,time epoch 26,time epoch 27,time epoch 28,time epoch 29,time epoch 30,time epoch 31,time epoch 32,time epoch 33,time epoch 34,time epoch 35,time epoch 36,time epoch 37,time epoch 38,time epoch 39,time epoch 40,time epoch 41,time epoch 42,time epoch 43,time epoch 44,time epoch 45,time epoch 46,time epoch 47,time epoch 48,time epoch 49,time epoch 50
5848,leaf_11,30,0.107071,0.224242,0.325253,0.517172,0.539394,0.630303,0.606061,0.692929,0.69697,0.680808,0.618182,0.713131,0.743434,0.656566,0.731313,0.779798,0.755556,0.79798,0.743434,0.793939,0.791919,0.808081,0.80404,0.789899,0.771717,0.812121,0.775758,0.818182,0.793939,0.812121,0.761616,0.777778,0.826263,0.818182,0.818182,0.808081,0.832323,0.816162,0.826263,0.826263,0.822222,0.820202,0.824242,0.818182,0.816162,0.820202,0.820202,0.818182,0.816162,0.820202,14.8151,14.8627,14.8724,14.8459,14.8583,14.8553,14.8901,15.1378,15.1391,15.2515,15.2696,15.1479,15.1163,15.1074,15.1029,15.0704,15.1567,15.1175,15.1394,15.1914,15.172,15.0876,15.1504,15.169,14.8689,14.9069,14.9054,15.2759,15.4938,15.4356,15.3805,15.4303,15.4139,15.3397,15.4231,15.4235,15.2185,15.4583,15.3545,15.3225,15.3453,15.4018,15.3617,15.3492,15.4292,15.3837,15.4065,15.4073,15.3877,15.3119
9175,leaf_11,30,0.09899,0.30505,0.353535,0.452525,0.533333,0.551515,0.648485,0.666667,0.660606,0.735354,0.737374,0.791919,0.80202,0.787879,0.793939,0.806061,0.806061,0.781818,0.781818,0.832323,0.834343,0.814141,0.755556,0.80404,0.773737,0.818182,0.830303,0.79798,0.832323,0.832323,0.850505,0.850505,0.846465,0.842424,0.850505,0.842424,0.848485,0.836364,0.842424,0.838384,0.846465,0.840404,0.838384,0.848485,0.840404,0.844444,0.840404,0.834343,0.846465,0.834343,15.4591,15.4484,15.5138,15.3922,15.4548,15.4719,15.4642,15.3722,15.4658,15.4491,15.4265,15.4982,15.4693,15.4379,15.4477,15.4534,15.1978,15.2854,15.2634,15.241,15.3196,15.2177,15.2809,15.297,15.4482,15.3171,15.281,15.2488,15.2513,15.1244,15.109,14.8584,14.8916,14.8818,14.8633,14.9485,14.8523,14.8667,14.9042,14.8688,14.8644,14.9046,14.9291,14.828,15.1846,15.5064,15.379,15.4957,15.3094,15.5042
1234,leaf_11,50,0.207273,0.516364,0.594545,0.656364,0.645455,0.674545,0.670909,0.710909,0.730909,0.729091,0.696364,0.736364,0.741818,0.743636,0.778182,0.741818,0.792727,0.723636,0.78,0.794545,0.743636,0.763636,0.789091,0.789091,0.794545,0.801818,0.792727,0.809091,0.790909,0.778182,0.810909,0.810909,0.792727,0.82,0.814545,0.812727,0.818182,0.82,0.809091,0.816364,0.82,0.823636,0.82,0.818182,0.807273,0.823636,0.818182,0.818182,0.818182,0.818182,25.9513,26.0411,26.0079,26.0156,26.0943,26.0198,26.0279,26.0753,26.0609,25.8413,26.0099,26.0087,25.9871,25.6843,25.8444,25.9458,25.8819,25.8979,25.6308,25.6582,25.6217,25.6301,25.3947,25.3543,25.3481,25.3893,25.4479,25.5136,25.5846,25.6091,25.6639,24.8999,24.9463,25.0266,25.001,24.9568,24.9676,24.9654,25.0289,24.9914,25.0098,25.0034,24.9218,24.9231,24.97,24.9252,24.9446,24.9122,24.991,24.9555
3177,leaf_11,50,0.318182,0.467273,0.56,0.6,0.66,0.689091,0.678182,0.687273,0.778182,0.807273,0.787273,0.801818,0.807273,0.812727,0.785455,0.809091,0.821818,0.841818,0.778182,0.834545,0.809091,0.841818,0.823636,0.827273,0.821818,0.852727,0.832727,0.830909,0.858182,0.834545,0.818182,0.849091,0.84,0.816364,0.829091,0.790909,0.836364,0.84,0.832727,0.843636,0.849091,0.84,0.841818,0.854545,0.849091,0.847273,0.847273,0.850909,0.849091,0.847273,24.9819,24.9958,25.7895,25.9902,25.8877,25.9331,26.0391,26.024,26.0464,26.0134,25.9916,25.7726,25.9469,25.9389,25.9531,25.7036,25.6744,25.481,25.5092,25.5012,25.4771,25.4991,25.449,25.4384,25.4133,25.4281,25.0503,25.0249,24.9972,25.0042,25.0462,24.9793,25.0135,24.97,25.0552,25.0499,24.976,24.8947,25.0877,24.9967,24.9941,25.0207,25.0503,24.967,24.9996,24.9253,25.0418,25.0997,25.1246,25.0463
5848,leaf_11,50,0.301818,0.556364,0.541818,0.630909,0.665455,0.652727,0.718182,0.789091,0.789091,0.792727,0.803636,0.841818,0.827273,0.856364,0.872727,0.863636,0.823636,0.863636,0.830909,0.810909,0.834545,0.86,0.830909,0.809091,0.825455,0.878182,0.876364,0.776364,0.861818,0.872727,0.856364,0.856364,0.856364,0.872727,0.870909,0.872727,0.861818,0.869091,0.865455,0.870909,0.861818,0.870909,0.86,0.867273,0.86,0.865455,0.865455,0.863636,0.869091,0.865455,25.0884,25.0689,25.0179,25.0464,24.9034,25.0444,25.0034,24.7696,25.114,24.9165,24.9309,24.8864,24.9382,24.9818,25.6263,25.6536,25.769,25.5461,25.6488,25.6885,25.4796,25.4364,25.4001,25.4351,25.4558,25.4553,25.4014,25.4845,25.5503,25.4881,25.5521,25.5411,25.4353,25.5238,25.5016,25.8059,26.0389,25.9292,25.8756,26.0158,25.7061,25.5268,25.5376,25.057,24.9952,24.9835,25.0465,25.0456,25.7196,25.6482
9175,leaf_11,50,0.230909,0.416364,0.585455,0.570909,0.678182,0.732727,0.703636,0.72,0.747273,0.752727,0.78,0.74,0.789091,0.803636,0.781818,0.781818,0.78,0.829091,0.830909,0.827273,0.845455,0.845455,0.829091,0.818182,0.845455,0.849091,0.821818,0.858182,0.849091,0.827273,0.850909,0.852727,0.843636,0.827273,0.861818,0.856364,0.794545,0.747273,0.843636,0.84,0.843636,0.86,0.858182,0.854545,0.858182,0.854545,0.854545,0.856364,0.854545,0.854545,25.3735,25.0304,25.0085,25.4591,25.4962,25.513,25.495,25.3831,25.453,25.4423,25.4312,25.4768,25.5562,25.408,24.9445,24.9836,25.9251,25.9329,26.0009,25.7102,25.6308,25.587,25.3669,25.4465,25.4248,25.4314,25.4691,25.0352,25.0829,25.4571,25.96,25.897,25.6623,25.6744,25.9481,25.7078,25.6076,25.5088,25.4932,25.4958,25.4808,25.5151,25.4114,25.4507,25.4359,25.5125,25.5406,25.0029,24.919,24.9693
1234,leaf_11,105,0.490526,0.6,0.675789,0.686316,0.753684,0.734737,0.762105,0.812632,0.814737,0.837895,0.825263,0.861053,0.829474,0.877895,0.873684,0.848421,0.844211,0.884211,0.877895,0.875789,0.905263,0.894737,0.867368,0.865263,0.886316,0.907368,0.888421,0.907368,0.877895,0.867368,0.869474,0.905263,0.898947,0.892632,0.907368,0.901053,0.903158,0.896842,0.894737,0.907368,0.898947,0.888421,0.911579,0.911579,0.871579,0.829474,0.861053,0.892632,0.886316,0.858947,49.9866,50.442,50.3796,50.5566,50.5844,50.5205,50.4745,50.5428,52.391,52.3003,52.3984,51.6524,51.1016,50.3903,49.9884,51.5062,51.5328,51.4123,50.4812,50.4953,50.4457,50.5005,50.4662,50.4922,50.4825,50.5259,50.5228,50.3923,50.444,50.5518,50.5159,50.6395,50.4839,51.3753,51.3527,51.4892,51.4804,51.8974,51.8301,51.331,51.421,50.521,50.4171,50.473,50.4287,50.5044,49.3691,50.4506,50.4411,50.5922
3177,leaf_11,105,0.450526,0.637895,0.715789,0.783158,0.785263,0.831579,0.827368,0.901053,0.825263,0.846316,0.886316,0.873684,0.888421,0.905263,0.905263,0.892632,0.932632,0.915789,0.903158,0.888421,0.922105,0.922105,0.911579,0.922105,0.924211,0.873684,0.901053,0.915789,0.858947,0.911579,0.905263,0.922105,0.930526,0.922105,0.936842,0.938947,0.936842,0.938947,0.936842,0.934737,0.936842,0.934737,0.936842,0.934737,0.936842,0.936842,0.932632,0.932632,0.934737,0.934737,51.4815,51.5742,50.4831,50.4298,50.4171,50.3651,50.4179,50.4551,50.1139,50.4798,50.3964,50.4373,51.3323,51.8703,51.3955,50.4296,50.4692,50.5235,50.4178,50.4805,50.6102,50.6178,50.5309,50.5175,50.5712,50.4099,50.5025,50.4054,50.4936,50.4999,49.0141,48.9623,48.8894,49.5124,50.1486,50.7284,50.2425,50.1595,49.807,50.6757,50.2188,50.0681,49.9438,49.9002,50.257,51.0844,50.9908,51.0685,51.0712,50.903
5848,leaf_11,105,0.557895,0.612632,0.730526,0.749474,0.812632,0.852632,0.84,0.846316,0.875789,0.886316,0.882105,0.898947,0.898947,0.905263,0.898947,0.896842,0.909474,0.896842,0.92,0.894737,0.913684,0.873684,0.909474,0.888421,0.909474,0.896842,0.92,0.915789,0.915789,0.917895,0.922105,0.92,0.917895,0.922105,0.92,0.917895,0.924211,0.917895,0.922105,0.922105,0.92,0.926316,0.917895,0.917895,0.92,0.924211,0.922105,0.926316,0.917895,0.917895,50.9217,50.9784,50.9539,50.6917,50.3374,49.9622,49.9156,49.069,49.064,48.9166,49.0034,49.119,48.9856,49.0548,49.0276,49.3004,50.2371,50.2021,50.8616,50.8116,50.2668,50.4553,50.816,51.1283,50.8304,50.9137,50.9734,50.9406,50.2954,50.312,50.6646,50.8778,50.7277,50.8614,50.6979,50.7358,50.7856,50.221,50.2698,50.0983,50.2047,49.9753,49.8914,49.9086,50.5862,52.3831,51.469,50.5834,50.482,50.5304
9175,leaf_11,105,0.488421,0.557895,0.68,0.677895,0.738947,0.776842,0.778947,0.812632,0.829474,0.823158,0.852632,0.844211,0.884211,0.861053,0.884211,0.833684,0.886316,0.888421,0.888421,0.882105,0.882105,0.890526,0.888421,0.873684,0.875789,0.901053,0.884211,0.867368,0.890526,0.890526,0.898947,0.907368,0.905263,0.92,0.907368,0.894737,0.911579,0.901053,0.901053,0.877895,0.892632,0.905263,0.888421,0.911579,0.907368,0.911579,0.907368,0.909474,0.911579,0.909474,50.6812,50.4946,49.6782,50.5067,50.457,50.4905,50.4975,50.3674,51.4041,51.5602,50.3592,52.1133,51.4399,50.4165,51.1451,51.4948,51.503,51.0856,51.5054,51.5111,50.4817,50.5595,51.6548,51.708,51.7833,50.9895,52.2865,52.5343,52.6263,52.6718,52.8119,52.6702,52.7871,52.6962,52.6862,52.8456,52.3324,52.6727,52.6541,52.6879,52.8845,52.823,52.8225,52.4404,51.8043,51.9368,51.8641,50.4821,50.7633,52.6406
1234,leaf_40,21,0.030075,0.030075,0.037594,0.082707,0.24812,0.345865,0.488722,0.518797,0.616541,0.586466,0.593985,0.684211,0.691729,0.616541,0.706767,0.669173,0.729323,0.669173,0.729323,0.609023,0.676692,0.676692,0.646617,0.714286,0.714286,0.706767,0.729323,0.676692,0.646617,0.593985,0.654135,0.691729,0.676692,0.676692,0.75188,0.759399,0.744361,0.75188,0.766917,0.774436,0.759399,0.766917,0.766917,0.766917,0.774436,0.774436,0.766917,0.766917,0.759399,0.759399,19.807,19.0208,18.7445,18.5407,18.6573,18.8239,18.8415,18.9531,19.0676,19.0166,19.0509,18.9903,18.987,18.9171,18.9303,18.807,18.9572,18.9052,18.9646,18.9492,18.7737,18.7535,18.7053,18.5172,18.4231,18.5162,18.4759,18.719,19.0563,18.6255,18.6057,18.6805,18.4232,18.5099,19.1691,19.7673,19.3594,19.3958,19.2885,19.2711,19.2707,19.1914,19.0536,19.0235,18.9847,18.8474,18.5923,18.4778,18.6209,18.4525
3177,leaf_40,21,0.022556,0.015038,0.06015,0.150376,0.278196,0.406015,0.473684,0.511278,0.541353,0.609023,0.639098,0.593985,0.593985,0.669173,0.639098,0.684211,0.676692,0.706767,0.714286,0.714286,0.721804,0.676692,0.744361,0.714286,0.729323,0.729323,0.729323,0.729323,0.676692,0.714286,0.721804,0.654135,0.586466,0.631579,0.699248,0.706767,0.75188,0.706767,0.684211,0.744361,0.736842,0.736842,0.766917,0.789474,0.789474,0.774436,0.789474,0.789474,0.781955,0.781955,18.4829,18.6063,19.1334,19.2079,19.4496,20.2781,20.2265,20.4595,20.3644,20.3286,20.1509,20.2862,20.2891,20.2187,20.3028,20.148,20.3565,20.396,20.5941,20.2227,20.2616,20.3786,20.487,20.4057,20.2452,20.1338,20.6594,20.9848,20.5834,20.4739,20.2004,20.271,20.3418,20.2903,20.2308,20.1697,20.5383,20.9611,20.8564,20.9592,21.03,20.8996,19.2262,19.1016,18.9916,18.4121,18.693,18.5673,18.6113,18.4966
5848,leaf_40,21,0.007519,0.097744,0.097744,0.18797,0.210526,0.353383,0.43609,0.443609,0.43609,0.541353,0.511278,0.526316,0.639098,0.571429,0.586466,0.616541,0.646617,0.676692,0.556391,0.631579,0.661654,0.646617,0.714286,0.691729,0.691729,0.706767,0.706767,0.721804,0.706767,0.706767,0.75188,0.759399,0.759399,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.766917,0.759399,0.766917,0.766917,0.759399,18.5715,18.6985,18.627,18.6043,18.8175,18.6473,18.6491,18.5631,18.6297,18.5187,18.5382,18.5079,18.578,18.5653,18.5976,18.5479,18.5614,18.7822,19.4246,19.4635,19.2318,19.1597,19.1313,19.015,19.0522,19.0865,19.0272,18.9852,18.9877,19.1347,19.0838,19.0093,18.9486,18.9921,19.1487,19.01,19.1678,19.0038,18.9635,19.0224,19.0076,19.0656,19.0255,18.9006,19.0675,18.9831,18.9925,19.0968,18.9824,19.0989
9175,leaf_40,21,0.022556,0.015038,0.037594,0.090226,0.142857,0.255639,0.406015,0.383459,0.496241,0.466165,0.466165,0.593985,0.541353,0.571429,0.578947,0.616541,0.62406,0.616541,0.631579,0.571429,0.609023,0.676692,0.676692,0.593985,0.706767,0.676692,0.691729,0.676692,0.699248,0.706767,0.706767,0.706767,0.706767,0.699248,0.706767,0.699248,0.706767,0.706767,0.706767,0.706767,0.706767,0.706767,0.706767,0.706767,0.706767,0.699248,0.714286,0.706767,0.706767,0.706767,19.6527,19.2276,19.0814,19.1631,19.2561,19.2395,19.0444,18.5814,18.5123,18.5099,18.5849,18.5723,18.5507,18.5545,18.5825,18.5806,18.5641,18.4869,18.5295,18.4608,18.4913,18.5625,18.5884,18.5066,18.63,18.5065,18.5683,18.5275,18.2984,18.4836,18.5209,18.5158,18.5608,18.5427,18.5526,19.1344,19.1283,19.047,19.326,19.3256,19.1732,19.2473,19.2204,19.1901,19.157,19.1953,19.1527,19.9677,20.7701,21.0323
