task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
longest_palindromic_substring_emnist,3177,100,0.26,0.338,0.352,0.44,0.402,0.394,0.45,0.478,0.476,0.48,125.651,119.0377,115.2871,112.8793,115.5722,114.5056,112.5338,116.2201,113.8322,112.6793
longest_palindromic_substring_emnist,5848,100,0.246,0.338,0.378,0.424,0.426,0.434,0.458,0.438,0.476,0.474,123.2375,122.6689,115.242,121.8636,117.5954,121.554,122.7621,120.1994,122.7923,117.4758
longest_palindromic_substring_emnist,9175,100,0.218,0.332,0.36,0.38,0.392,0.412,0.43,0.428,0.436,0.424,118.8707,118.1622,122.1626,119.308,116.1536,112.9581,110.7847,115.4032,121.0216,111.0792
longest_substring_without_repeating_characters_emnist,3177,100,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,0.626,119.9702,115.5313,114.6184,112.6394,115.1477,112.7664,117.3639,113.8288,114.5149,114.1271
longest_substring_without_repeating_characters_emnist,5848,100,0.624,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,125.1758,122.8423,121.7524,125.6317,122.8154,122.7265,125.0421,123.6924,124.9145,120.2494
longest_substring_without_repeating_characters_emnist,9175,100,0.656,0.656,0.656,0.656,0.654,0.656,0.656,0.656,0.656,0.656,126.2982,120.816,121.0318,123.1992,116.5017,122.8237,123.9271,115.3405,122.2509,118.8236
