task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
minimum_path_sum_svhn,5848,100,0.08,0.07,0.062,0.074,0.066,0.074,0.074,0.074,0.074,0.072,59.4881,56.8588,56.8475,56.8726,57.587,57.2883,59.426,57.6022,57.092,57.3835
minimum_path_sum_svhn,9175,100,0.076,0.064,0.066,0.078,0.072,0.08,0.066,0.068,0.086,0.074,61.2868,57.4889,58.5084,58.4657,58.6328,58.178,59.9092,58.4193,59.3051,59.1807
spiral_matrix_ii_mnist,3177,100,0.936,0.966,0.956,0.974,0.976,0.974,0.974,0.97,0.984,0.974,57.7421,52.2856,52.1274,51.5224,51.8136,53.6453,53.8265,52.2687,51.9032,52.5516
spiral_matrix_ii_mnist,5848,100,0.896,0.932,0.946,0.944,0.95,0.952,0.956,0.958,0.956,0.966,56.1094,53.9811,53.5342,52.8743,53.8713,53.9115,52.7918,52.3071,51.8853,54.072
spiral_matrix_ii_mnist,9175,100,0.924,0.946,0.952,0.964,0.962,0.962,0.966,0.972,0.972,0.97,54.7658,51.6916,52.5763,53.0535,51.872,52.0328,51.9148,52.9089,51.5514,52.5751
spiral_matrix_ii_svhn,3177,100,0.106,0.208,0.564,0.686,0.734,0.766,0.792,0.814,0.814,0.81,61.541,58.7249,59.191,59.3498,59.4706,61.1453,60.3242,59.877,59.5086,59.3424
spiral_matrix_ii_svhn,5848,100,0.128,0.622,0.736,0.752,0.568,0.656,0.696,0.724,0.736,0.74,62.1434,59.9709,60.2554,60.6798,60.6121,62.5261,60.4034,59.3919,58.966,60.9307
spiral_matrix_ii_svhn,9175,100,0.21,0.544,0.684,0.728,0.764,0.752,0.552,0.626,0.678,0.708,62.6516,59.3922,61.1381,62.1872,60.5764,62.0462,61.0575,62.0678,62.0638,62.0026
jump_game_mnist,3177,100,0.984,0.986,0.984,0.988,0.992,0.99,0.99,0.99,0.992,0.992,51.5498,44.6905,44.8325,44.7346,46.0291,45.1002,47.7846,45.1988,44.8832,47.4664
jump_game_mnist,5848,100,0.988,0.984,0.986,0.992,0.994,0.99,0.992,0.994,0.996,0.996,53.2532,47.9757,47.7351,46.3247,47.0072,46.6284,49.3468,47.2871,47.1132,46.1862
jump_game_mnist,9175,100,0.978,0.988,0.992,0.994,0.994,0.988,0.988,0.994,0.996,0.996,48.6476,46.1446,45.3332,45.3985,44.528,45.8501,47.7208,48.2045,44.9841,48.0249
jump_game_svhn,3177,100,0.87,0.872,0.904,0.928,0.93,0.922,0.936,0.938,0.926,0.926,60.1234,57.0616,58.0224,57.2365,58.0475,59.508,61.0731,59.0356,59.5197,59.445
jump_game_svhn,5848,100,0.878,0.89,0.938,0.934,0.954,0.946,0.952,0.948,0.952,0.944,60.3646,58.3896,57.3958,58.0035,57.5408,58.2923,62.6294,59.8326,59.3852,59.6754
jump_game_svhn,9175,100,0.896,0.898,0.922,0.942,0.938,0.944,0.892,0.896,0.92,0.924,60.9118,58.4179,60.3076,59.7263,60.2771,59.8329,61.5275,59.7348,58.8453,58.4402
spiral_matrix_mnist,3177,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.5731,51.6015,52.7618,52.4958,56.0723,52.5775,52.2134,51.9806,52.1065,51.092
spiral_matrix_mnist,5848,100,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,55.9802,52.0445,54.7437,54.5505,54.6637,52.9184,52.6396,54.414,51.5145,53.2207
spiral_matrix_mnist,9175,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1679,56.2386,52.9087,52.7647,55.4414,53.794,51.9607,55.6575,52.4302,50.2841
spiral_matrix_svhn,3177,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.3035,61.3005,61.58,62.1073,59.61,59.643,60.4526,60.6037,60.7522,60.9534
spiral_matrix_svhn,5848,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.1945,62.9723,61.9856,64.2754,63.0648,61.107,61.4103,61.8376,60.7143,61.2063
spiral_matrix_svhn,9175,100,0.002,0.002,0.002,0.0,0.002,0.0,0.0,0.0,0.002,0.002,65.9267,61.2751,62.1026,64.1109,62.2407,61.4039,61.6888,62.5105,62.315,62.8645
maximum_subarray_mnist,3177,100,0.11,0.118,0.74,0.846,0.87,0.89,0.896,0.898,0.918,0.914,56.7681,58.0104,50.9065,49.512,49.6814,53.7121,50.9415,51.385,53.4136,53.2573
maximum_subarray_mnist,5848,100,0.092,0.114,0.672,0.894,0.928,0.918,0.93,0.944,0.938,0.938,54.1786,47.3474,49.8084,49.2837,51.4431,50.942,53.933,50.974,51.1934,55.1006
maximum_subarray_mnist,9175,100,0.106,0.142,0.738,0.86,0.89,0.894,0.91,0.928,0.936,0.934,51.577,48.3985,48.0239,48.284,50.1133,51.3598,51.5553,49.8801,49.9119,49.0593
maximum_subarray_svhn,3177,100,0.062,0.074,0.038,0.046,0.08,0.052,0.054,0.064,0.052,0.054,62.9922,60.4825,60.4338,59.8333,60.425,60.5199,61.7191,60.9507,60.576,61.3911
maximum_subarray_svhn,5848,100,0.052,0.052,0.05,0.052,0.058,0.064,0.056,0.048,0.062,0.06,63.783,61.2115,63.1687,61.6178,62.5699,61.7757,63.7248,61.0999,60.918,60.6159
maximum_subarray_svhn,9175,100,0.044,0.068,0.046,0.07,0.074,0.064,0.074,0.062,0.048,0.066,63.5501,61.0401,60.1212,61.2639,62.9583,62.6171,64.9066,61.3569,60.3549,61.8312
longest_consecutive_sequence_svhn,3177,100,0.54,0.54,0.54,0.54,0.54,0.54,0.538,0.536,0.538,0.538,55.0718,51.9229,52.8362,52.4731,53.5776,53.8407,54.3,53.4702,53.4426,53.7591
longest_consecutive_sequence_svhn,5848,100,0.494,0.494,0.492,0.494,0.494,0.494,0.494,0.494,0.494,0.494,56.9053,53.8151,53.9425,54.859,54.1507,53.9901,55.2079,54.6705,54.2919,54.6099
longest_consecutive_sequence_svhn,9175,100,0.562,0.562,0.562,0.558,0.562,0.56,0.562,0.558,0.562,0.562,58.8339,55.9929,56.4201,55.8036,56.9237,55.9129,57.2222,56.7864,57.0288,57.0416
best_time_to_buy_and_sell_stock_svhn,3177,100,0.2,0.232,0.238,0.244,0.248,0.208,0.202,0.176,0.186,0.228,61.5214,58.0033,58.5551,57.1592,57.9712,58.0621,58.8536,58.8208,57.7654,58.3797
best_time_to_buy_and_sell_stock_svhn,5848,100,0.232,0.204,0.238,0.216,0.218,0.226,0.208,0.218,0.234,0.242,62.9928,59.3273,60.3114,60.917,60.0327,61.3417,62.049,60.0883,60.5979,60.233
best_time_to_buy_and_sell_stock_svhn,9175,100,0.252,0.256,0.262,0.258,0.226,0.246,0.24,0.236,0.256,0.238,62.948,60.4913,60.8281,61.6675,60.679,60.5715,62.7672,60.0595,60.2326,61.062
decode_ways_svhn,3177,100,0.514,0.518,0.48,0.532,0.622,0.72,0.764,0.77,0.798,0.798,58.5327,55.2743,55.7856,54.9928,54.7218,54.6968,58.0634,55.6414,55.4902,56.2991
decode_ways_svhn,5848,100,0.546,0.506,0.716,0.772,0.784,0.794,0.78,0.766,0.798,0.82,59.1971,55.6912,56.5769,55.677,55.1363,55.3421,57.72,56.3079,55.3792,56.62
decode_ways_svhn,9175,100,0.53,0.528,0.678,0.74,0.748,0.78,0.768,0.804,0.79,0.816,59.7114,56.8172,56.0925,56.1575,56.432,55.601,57.0352,56.3982,55.9293,56.2272
subsets_ii_svhn,3177,100,0.004,0.002,0.006,0.006,0.012,0.008,0.01,0.004,0.01,0.006,80.4778,76.9449,76.838,77.5429,76.1121,76.5678,78.5689,77.4702,77.5816,77.1725
subsets_ii_svhn,5848,100,0.002,0.0,0.0,0.002,0.0,0.002,0.002,0.0,0.002,0.004,78.7064,76.5488,74.6217,75.4815,74.8487,76.0028,77.7135,76.6956,77.1164,77.0655
subsets_ii_svhn,9175,100,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0.004,0.002,0.0,78.605,75.8049,76.3224,77.3692,76.463,78.1396,78.0261,77.2129,78.6365,78.6287
largest_rectangle_in_histogram_svhn,3177,100,0.174,0.166,0.194,0.162,0.186,0.182,0.188,0.18,0.176,0.172,65.0381,62.0217,62.7238,61.7427,61.376,60.9245,63.8028,62.5305,62.544,63.0971
largest_rectangle_in_histogram_svhn,5848,100,0.174,0.184,0.18,0.164,0.192,0.184,0.142,0.208,0.222,0.25,65.4433,60.9889,62.0636,61.797,62.4894,62.0647,64.6355,62.5991,63.1338,62.4503
largest_rectangle_in_histogram_svhn,9175,100,0.174,0.17,0.182,0.158,0.166,0.174,0.174,0.164,0.176,0.178,65.8092,62.5116,63.7494,62.2582,62.7305,62.2638,64.2695,62.9821,63.5411,63.2535
rotate_image_mnist,3177,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3067,59.1132,57.0611,58.0519,62.1621,57.8384,56.6253,60.2729,55.9959,56.4468
rotate_image_mnist,5848,100,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,60.1661,57.9898,58.3232,56.4849,56.7859,58.9366,56.5632,55.9552,55.9233,58.6724
rotate_image_mnist,9175,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3225,57.1719,56.9651,59.7339,59.4559,58.0827,59.2063,57.3299,56.9214,59.9234
rotate_image_svhn,3177,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,69.8122,66.0942,66.2889,65.6416,65.0214,64.3873,64.9372,65.6811,65.0958,66.0745
rotate_image_svhn,5848,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.1494,66.613,66.4006,66.816,66.925,69.2042,65.7615,64.8319,65.4653,65.72
rotate_image_svhn,9175,100,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,70.6961,65.8419,67.7788,68.0946,65.1731,68.1992,65.6645,65.5037,66.2679,65.8986
permutations_ii_mnist,3177,100,0.754,0.894,0.928,0.928,0.948,0.944,0.944,0.942,0.946,0.966,74.2331,74.1619,71.1667,70.9444,69.8632,67.0797,72.623,67.5178,73.0568,68.723
permutations_ii_mnist,5848,100,0.828,0.914,0.932,0.946,0.942,0.95,0.962,0.966,0.964,0.954,78.02,78.0432,71.9719,70.0084,71.7517,69.6522,69.7989,70.3461,70.3601,67.9977
permutations_ii_mnist,9175,100,0.778,0.882,0.91,0.916,0.944,0.944,0.946,0.936,0.942,0.946,74.7622,75.0371,72.668,72.7364,71.3332,69.2311,68.9884,69.2265,71.7438,73.8803
permutations_ii_svhn,3177,100,0.004,0.004,0.006,0.002,0.008,0.006,0.008,0.002,0.008,0.004,76.034,76.0232,77.7225,77.8007,76.3434,77.8237,78.8775,79.5045,76.0744,79.4091
permutations_ii_svhn,5848,100,0.0,0.002,0.0,0.0,0.0,0.002,0.0,0.002,0.002,0.0,78.5114,76.452,76.7584,78.2325,77.7433,79.2451,77.2476,77.7453,76.8657,78.443
permutations_ii_svhn,9175,100,0.004,0.002,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,79.4563,76.9865,79.4247,78.0957,76.8775,78.7791,78.7452,79.8693,79.0581,78.2728
median_of_two_sorted_arrays_svhn,3177,1000,0.104,0.096,0.108,0.122,0.09,0.104,0.126,0.118,0.128,0.154,502.058,498.1224,507.1461,499.8831,511.7632,529.7098,502.8072,507.7637,539.3016,505.4139
median_of_two_sorted_arrays_svhn,5848,1000,0.14,0.114,0.13,0.098,0.146,0.124,0.148,0.15,0.152,0.18,694.0947,682.9766,627.4396,659.7951,646.891,630.536,671.4654,621.8529,631.3137,625.5929
median_of_two_sorted_arrays_svhn,9175,1000,0.092,0.1,0.104,0.116,0.1,0.102,0.104,0.142,0.156,0.196,619.4737,606.0318,688.3771,629.925,609.7499,616.7455,628.2123,634.0605,611.3406,643.349
reverse_integer_mnist_length4,3177,1000,0.83,0.872,0.888,0.896,0.934,0.936,0.946,0.942,0.922,0.95,1410.6796,1427.1775,1400.3464,1416.007,1427.8636,1466.2906,1470.805,1440.9815,1448.6037,1418.6774
reverse_integer_mnist_length4,5848,1000,0.83,0.886,0.91,0.928,0.938,0.936,0.94,0.946,0.95,0.942,1453.442,1445.7223,1440.3538,1438.433,1426.2868,1435.3634,1437.3852,1436.3266,1415.599,1433.4454
reverse_integer_mnist_length4,9175,1000,0.812,0.892,0.904,0.91,0.924,0.926,0.928,0.93,0.942,0.94,1427.6197,1415.258,1419.8141,1399.7442,1409.0445,1418.9626,1416.2677,1413.5477,1383.9255,1390.9865
