task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10
identity_mnist,5848,100,0.896,0.93,0.946,0.946,0.96,0.958,0.962,0.96,0.956,0.962,49.7587,46.4678,46.2699,46.066,46.7189,46.9374,46.8069,45.8283,45.4578,46.3336
identity_mnist,9175,100,0.924,0.946,0.954,0.966,0.956,0.96,0.974,0.97,0.972,0.968,49.8444,46.4492,50.2465,49.989,48.3973,46.8867,47.0813,48.9393,50.406,45.9721
is_3_and_4_mnist,3177,100,0.992,0.992,0.992,0.992,0.992,0.99,0.992,0.992,0.992,0.992,52.9151,49.0981,48.4417,47.6457,48.4953,48.4404,48.1914,49.1061,48.3643,48.0689
is_3_and_4_mnist,5848,100,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,50.3973,47.2256,48.52,47.7235,47.7503,48.6476,47.8343,47.0899,49.3535,47.5583
is_3_and_4_mnist,9175,100,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,0.994,50.1959,48.1302,48.3604,47.3246,47.6751,48.0465,48.8749,46.4216,48.9643,47.5022
not_3_or_4_mnist,3177,100,0.962,0.962,0.972,0.98,0.982,0.974,0.978,0.982,0.98,0.978,50.5588,47.7748,47.7051,47.1215,48.2847,51.6838,47.3009,47.2839,48.0506,47.7074
not_3_or_4_mnist,5848,100,0.97,0.974,0.982,0.982,0.962,0.95,0.962,0.966,0.966,0.972,49.9003,47.4599,47.092,47.2963,47.5974,48.435,47.2932,48.6347,47.6157,47.693
not_3_or_4_mnist,9175,100,0.974,0.98,0.978,0.984,0.99,0.988,0.984,0.99,0.986,0.99,51.0509,48.0737,49.6485,48.474,45.6499,47.2127,47.765,46.9697,47.6224,47.9671
less_than_mnist,3177,100,0.876,0.938,0.944,0.948,0.956,0.958,0.954,0.958,0.964,0.958,52.6921,48.5069,48.0713,47.2982,46.5268,47.5688,47.5215,47.5193,47.0154,47.6104
less_than_mnist,5848,100,0.88,0.92,0.946,0.94,0.934,0.938,0.942,0.944,0.954,0.952,52.1847,47.8606,48.6525,47.3685,47.6093,47.6665,48.2915,55.3621,49.7485,48.5831
less_than_mnist,9175,100,0.894,0.926,0.94,0.94,0.95,0.962,0.956,0.952,0.962,0.97,52.2763,48.4149,48.6684,47.9449,48.1403,48.8083,47.3637,47.2966,49.8946,48.0764
mod_2_mnist,3177,100,0.874,0.936,0.948,0.946,0.95,0.956,0.966,0.964,0.958,0.954,51.1341,46.8415,48.3425,48.0518,48.2768,47.1749,47.9233,49.1862,51.2556,51.2251
mod_2_mnist,5848,100,0.908,0.92,0.942,0.944,0.952,0.96,0.964,0.964,0.97,0.964,51.4777,50.0762,46.6203,47.8186,47.6171,47.5864,47.7898,47.5973,48.0821,49.7687
mod_2_mnist,9175,100,0.9,0.92,0.954,0.966,0.964,0.962,0.964,0.966,0.968,0.972,51.3443,51.116,47.6899,48.3346,48.1568,47.2009,47.3708,47.7471,47.5896,47.5358
mult_2_mnist,3177,100,0.858,0.904,0.942,0.942,0.952,0.948,0.956,0.948,0.958,0.96,50.9401,49.1912,48.4867,48.5108,49.3564,48.9594,47.3082,49.2475,49.4475,48.2094
mult_2_mnist,5848,100,0.888,0.906,0.922,0.944,0.954,0.952,0.952,0.958,0.96,0.954,52.0627,49.0449,47.6545,49.5044,49.4416,50.635,50.8576,49.5121,47.9228,48.9698
mult_2_mnist,9175,100,0.888,0.928,0.954,0.954,0.952,0.948,0.96,0.96,0.964,0.96,51.7389,48.7042,48.9676,47.6658,47.0007,47.7103,49.1251,48.1029,48.4454,49.1425
