random seed,grad_type,task_type,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,accuracy epoch 11,accuracy epoch 12,accuracy epoch 13,accuracy epoch 14,accuracy epoch 15,accuracy epoch 16,accuracy epoch 17,accuracy epoch 18,accuracy epoch 19,accuracy epoch 20,accuracy epoch 21,accuracy epoch 22,accuracy epoch 23,accuracy epoch 24,accuracy epoch 25,accuracy epoch 26,accuracy epoch 27,accuracy epoch 28,accuracy epoch 29,accuracy epoch 30,accuracy epoch 31,accuracy epoch 32,accuracy epoch 33,accuracy epoch 34,accuracy epoch 35,accuracy epoch 36,accuracy epoch 37,accuracy epoch 38,accuracy epoch 39,accuracy epoch 40,accuracy epoch 41,accuracy epoch 42,accuracy epoch 43,accuracy epoch 44,accuracy epoch 45,accuracy epoch 46,accuracy epoch 47,accuracy epoch 48,accuracy epoch 49,accuracy epoch 50,accuracy epoch 51,accuracy epoch 52,accuracy epoch 53,accuracy epoch 54,accuracy epoch 55,accuracy epoch 56,accuracy epoch 57,accuracy epoch 58,accuracy epoch 59,accuracy epoch 60,accuracy epoch 61,accuracy epoch 62,accuracy epoch 63,accuracy epoch 64,accuracy epoch 65,accuracy epoch 66,accuracy epoch 67,accuracy epoch 68,accuracy epoch 69,accuracy epoch 70,accuracy epoch 71,accuracy epoch 72,accuracy epoch 73,accuracy epoch 74,accuracy epoch 75,accuracy epoch 76,accuracy epoch 77,accuracy epoch 78,accuracy epoch 79,accuracy epoch 80,accuracy epoch 81,accuracy epoch 82,accuracy epoch 83,accuracy epoch 84,accuracy epoch 85,accuracy epoch 86,accuracy epoch 87,accuracy epoch 88,accuracy epoch 89,accuracy epoch 90,accuracy epoch 91,accuracy epoch 92,accuracy epoch 93,accuracy epoch 94,accuracy epoch 95,accuracy epoch 96,accuracy epoch 97,accuracy epoch 98,accuracy epoch 99,accuracy epoch 100
3177,icr,sum_4,3,0.0868,0.104,0.1248,0.146,0.164,0.1696,0.2192,0.2856,0.2684,0.3644
5848,icr,sum_4,3,0.0788,0.0972,0.1044,0.1488,0.1484,0.182,0.1872,0.2144,0.2664,0.2828
9175,icr,sum_4,3,0.0716,0.0916,0.1084,0.156,0.142,0.1296,0.1792,0.2104,0.2572,0.308
3177,icr,add_sub,4,0.182118,0.730573,0.870987,0.90099,0.924993,0.930093,0.931293,0.937594,0.936094,0.945995
5848,icr,add_sub,4,0.183918,0.717672,0.844885,0.893189,0.909391,0.925293,0.924692,0.933693,0.942394,0.944494
9175,icr,add_sub,4,0.162916,0.384939,0.819982,0.865587,0.892589,0.906991,0.931893,0.932493,0.938794,0.935494
3177,icr,eq,5,0.1386,0.711,0.868,0.9416,0.964,0.9764,0.9818,0.9822,0.9816,0.9864
5848,icr,eq,5,0.6694,0.855,0.9206,0.941,0.9518,0.9608,0.975,0.9806,0.9816,0.9844
9175,icr,eq,5,0.1132,0.7782,0.8458,0.9346,0.9592,0.9678,0.9744,0.9772,0.9792,0.9828
3177,icr,how_many_3_4,2,0.0,0.0008,0.0008,0.016,0.1016,0.1728,0.1888,0.3976,0.1752,0.4296
5848,icr,how_many_3_4,2,0.0,0.0072,0.0,0.0632,0.396,0.0888,0.16,0.2064,0.3408,0.2952
9175,icr,how_many_3_4,2,0.0,0.0008,0.1208,0.0576,0.1568,0.2,0.2144,0.2992,0.3416,0.3352
3177,icr,less_than,5,0.8822,0.928,0.9496,0.9548,0.961,0.962,0.9564,0.9674,0.9704,0.971
5848,icr,less_than,5,0.8896,0.9186,0.9352,0.9456,0.9494,0.9546,0.9546,0.9586,0.9582,0.9564
9175,icr,less_than,5,0.871,0.9148,0.9278,0.9438,0.9444,0.952,0.9532,0.9546,0.9558,0.9534
3177,icr,mod,5,0.9086,0.9402,0.9538,0.9586,0.9662,0.9618,0.9734,0.976,0.9758,0.9708
5848,icr,mod,5,0.9032,0.9382,0.9512,0.9578,0.9638,0.968,0.9688,0.9712,0.976,0.975
9175,icr,mod,5,0.896,0.9296,0.9526,0.9608,0.9606,0.9696,0.968,0.971,0.9686,0.9728
3177,icr,mult,5,0.8898,0.9278,0.951,0.9558,0.9604,0.9596,0.9654,0.9696,0.9688,0.9684
5848,icr,mult,5,0.883,0.9218,0.9394,0.9502,0.9556,0.959,0.9616,0.9664,0.9686,0.9664
9175,icr,mult,5,0.8716,0.9264,0.943,0.9502,0.9548,0.9606,0.963,0.9656,0.9696,0.9682
3177,reinforce,leaves,100,0.063636,0.118182,0.145455,0.109091,0.118182,0.172727,0.127273,0.154545,0.181818,0.154545,0.181818,0.181818,0.172727,0.154545,0.181818,0.181818,0.163636,0.136364,0.181818,0.181818,0.181818,0.181818,0.172727,0.163636,0.181818,0.181818,0.172727,0.163636,0.163636,0.163636,0.181818,0.163636,0.181818,0.172727,0.154545,0.163636,0.136364,0.172727,0.181818,0.181818,0.163636,0.145455,0.154545,0.163636,0.172727,0.172727,0.1,0.172727,0.154545,0.118182
5848,reinforce,leaves,100,0.1,0.1,0.118182,0.136364,0.227273,0.136364,0.227273,0.190909,0.245455,0.236364,0.245455,0.227273,0.236364,0.236364,0.245455,0.254545,0.227273,0.227273,0.263636,0.245455,0.272727,0.272727,0.272727,0.318182,0.3,0.336364,0.309091,0.354545,0.336364,0.327273,0.336364,0.354545,0.336364,0.354545,0.345455,0.336364,0.336364,0.345455,0.363636,0.363636,0.318182,0.3,0.336364,0.345455,0.345455,0.354545,0.345455,0.354545,0.409091,0.390909
9175,reinforce,leaves,100,0.118182,0.136364,0.127273,0.136364,0.118182,0.118182,0.118182,0.118182,0.136364,0.163636,0.181818,0.163636,0.181818,0.163636,0.181818,0.181818,0.190909,0.190909,0.190909,0.190909,0.190909,0.209091,0.236364,0.245455,0.254545,0.254545,0.245455,0.254545,0.254545,0.245455,0.245455,0.245455,0.263636,0.236364,0.245455,0.236364,0.236364,0.236364,0.272727,0.127273,0.272727,0.254545,0.254545,0.272727,0.272727,0.263636,0.272727,0.272727,0.272727,0.272727
