task name,random seed,sample count,accuracy epoch 1,accuracy epoch 2,accuracy epoch 3,accuracy epoch 4,accuracy epoch 5,accuracy epoch 6,accuracy epoch 7,accuracy epoch 8,accuracy epoch 9,accuracy epoch 10,accuracy epoch 11,accuracy epoch 12,accuracy epoch 13,accuracy epoch 14,accuracy epoch 15,accuracy epoch 16,accuracy epoch 17,accuracy epoch 18,accuracy epoch 19,accuracy epoch 20,accuracy epoch 21,accuracy epoch 22,accuracy epoch 23,accuracy epoch 24,accuracy epoch 25,accuracy epoch 26,accuracy epoch 27,accuracy epoch 28,accuracy epoch 29,accuracy epoch 30,time epoch 1,time epoch 2,time epoch 3,time epoch 4,time epoch 5,time epoch 6,time epoch 7,time epoch 8,time epoch 9,time epoch 10,time epoch 11,time epoch 12,time epoch 13,time epoch 14,time epoch 15,time epoch 16,time epoch 17,time epoch 18,time epoch 19,time epoch 20,time epoch 21,time epoch 22,time epoch 23,time epoch 24,time epoch 25,time epoch 26,time epoch 27,time epoch 28,time epoch 29,time epoch 30
coffee leaf baseline,3177,0,0.162791,0.139535,0.348837,0.27907,0.325581,0.302326,0.27907,0.209302,0.27907,0.186047,0.162791,0.255814,0.232558,0.302326,0.27907,0.27907,0.186047,0.325581,0.348837,0.27907,0.302326,0.232558,0.325581,0.27907,0.302326,0.27907,0.302326,0.255814,0.302326,0.209302,44.9881,44.3935,43.8411,42.7317,43.0142,43.0483,53.8427,47.7205,42.3973,44.3477,42.7948,41.7822,42.3199,42.2984,43.5926,43.718,42.6266,52.8602,46.3294,42.2834,45.4529,41.7063,43.3006,41.8003,42.1669,54.193,52.7393,44.1227,43.0229,42.1005
coffee leaf baseline,5848,0,0.162791,0.255814,0.255814,0.302326,0.27907,0.232558,0.27907,0.27907,0.302326,0.302326,0.418605,0.395349,0.418605,0.348837,0.348837,0.372093,0.302326,0.348837,0.44186,0.348837,0.372093,0.372093,0.348837,0.27907,0.348837,0.325581,0.348837,0.372093,0.418605,0.348837,43.9027,44.6796,43.2111,43.743,43.5335,43.1773,43.5008,44.4293,47.1232,47.8039,45.1221,45.7343,45.9312,45.6676,45.4117,46.5029,44.6489,47.0648,45.7008,45.9262,45.2745,45.5928,44.8076,46.5381,46.4702,44.2102,43.2818,44.0761,43.7349,44.0839
coffee leaf baseline,9175,0,0.162791,0.209302,0.232558,0.255814,0.325581,0.209302,0.186047,0.325581,0.302326,0.255814,0.255814,0.255814,0.232558,0.255814,0.255814,0.418605,0.232558,0.302326,0.27907,0.348837,0.232558,0.162791,0.372093,0.27907,0.27907,0.209302,0.348837,0.255814,0.325581,0.209302,42.4433,44.9266,44.5629,44.5815,45.1257,41.484,44.0913,43.2766,41.7321,44.4539,44.8107,44.4721,43.0698,43.8722,44.9337,44.6874,44.2126,44.8297,44.6813,42.8823,46.2148,46.6636,47.058,45.1688,46.2654,47.6719,45.1869,43.7488,46.6666,48.1939
